District,Multiaxled Airculated Vehicles Goods Vehicles,Trucks and Lorries Goods Vehicles,Four Wheelers Goods Vehicles,Wheelers Goods Vehicles,Total Goods Vehicles,Stage Carriag Buses,Contract Vehicles Buses,Private Service Vehicles Buses,Educational Institution Vehicles Buses,Other Buses Buses,Total Buses,Motor Cabs Taxis,Maxi Cabs Taxis,Other Cabs Taxis,Seated Vehicles Auto Rickshaws Passenger Vehicles,Four to Six Seated Vehiclea Passenger Vehicles,Scooters Two-Wheelers,Mopeds Two-Wheelers,Motor Cycles Two-Wheelers,Total Two-Wheelers,Cars Motor Vehicles,Jeep Motor Vehicles,Omni Bus Motor Vehicles,Tractors Motor Vehicles,Tillers Motor Vehicles,Vehicles For Carrying Construction Materials,Others Vehicles,Total Motor Vehicles,% of total motor vehicles to the state total,National Highway,State Highway,Major District Roads,Major Bridges in Nos.,Length of Railway Lines,"Pucca Road,Panchayat Roads,Rural Road Length Km","WBM Road,Panchayat Roads,Rural Road Length Km","Kaccha Road,Panchayat Roads,Rural Road Length Km","Total Road,Panchayat Roads,Rural Road Length Km",Total No.of Habitations All-Weather Road Access,No.of Habitations access to all weather roads,% of Habitations access to all weather roads All-Weather Road Access,Post Offices Communications No.,Telephone Exchanges Communications No.,Telephones Communications No.,Mobile Phones Communications No.,Internet Connections Communications No.
Mandya,1690,6854,9175,10226,27945,1135,16,89,272,0,1512,5638,2512,1570,10858,6226,97160,47442,248353,392955,28757,562,306,14516,10629,1622,218,505826,2.28,206.21,439.52,2827.57,18,97,2304.71,2095.73,4172.84,8573.28,2038,2038,100.0,353,62,5486,137500,2511
Mysuru,671,9875,20020,11389,41955,4429,56,999,1095,22,6601,9108,4298,7,30494,77,723645,80551,203068,1007264,96818,1163,1754,17735,10704,1731,4674,1234383,5.58,238.46,548.61,2551.81,27,156,1671.39,2388.27,4185.13,8244.79,2002,1989,99.35,389,97,35437,265063,18921
Chamarajanagara,1493,5586,1810,2214,11103,187,24,3,109,497,820,1239,637,0,3532,268,53056,25731,118373,197160,9354,260,91,6977,4135,0,604,236180,1.07,201.24,314.46,979.25,8,14,890.86,1267.53,2091.12,4249.51,913,877,96.06,204,41,2113,143526,1437
Belagavi,4644,19405,23715,3551,51315,3480,10,177,1263,82,5012,3783,6690,0,14473,0,72026,38383,1527676,1638085,72618,2400,14005,50591,50129,2610,1886,1913597,8.64,335.12,2552.4,3065.55,58,253,3687.07,1298.59,7265.66,12251.32,2738,2237,81.7,727,188,30749,200048,10258
Vijayapura,4158,8895,10246,13210,36509,2479,6,5,915,157,3562,4815,1774,178,7134,2142,7836,83794,267740,359370,32388,3820,4300,29179,19325,1097,2901,508494,2.3,45.8,708.5,2397.39,40,127,1992.52,797.64,5654.8,8444.96,1023,1133,110.75,400,102,8801,59641,3551
Bagalkot,2407,4439,7610,5275,19731,1298,16,0,608,0,1922,3319,2300,0,11399,1902,7257,13082,341624,361963,23192,1038,5173,25959,25886,636,3142,487562,2.2,166.91,814.36,1586.2,30,77,1566.86,519.05,3587.14,5673.05,1072,749,69.87,329,58,6232,65625,3565
Dharwad,6979,8771,14459,5581,35790,3616,118,177,486,224,4621,3618,2327,0,22513,0,70895,30320,319712,420927,70684,1110,4668,20733,15762,401,3029,606183,2.74,200.68,484.41,1404.23,11,129,883.43,207.13,3080.11,4170.67,388,373,96.13,209,67,37445,216380,14640
Gadag,1083,2066,5219,2131,10499,1226,9,5,228,3,1471,1654,1142,46,5660,0,19211,3,140913,160127,10312,412,858,17117,11135,263,356,221052,1.0,103.57,683.42,1179.19,28,92,1173.54,187.26,2550.88,3911.68,361,361,100.0,168,58,5682,40159,2257
Haveri,1267,9708,9819,9366,30160,783,7,47,684,51,1572,5515,4175,0,17896,761,56129,18919,342298,417346,29603,184,1037,40115,27210,1126,588,577288,2.61,101.6,550.01,1848.27,14,84,1560.78,446.6,1962.02,3969.4,743,694,93.41,257,55,4776,61707,1965
Uttara Kannada,705,6570,6657,1778,15710,1180,26,929,298,28,2461,3642,1553,25,9831,57,28298,9392,339395,377085,29317,885,3229,2953,1990,365,1729,450832,2.04,322.3,1173.91,2029.26,26,185,3180.18,1229.64,8105.62,12515.44,7506,3558,47.4,483,150,28562,563476,10353
Ballari,2834,22370,11930,3274,40408,1220,196,540,836,119,2911,5180,2554,185,10871,526,67638,8043,423512,499193,38461,2252,4647,30684,17193,1916,1068,658049,2.97,355.07,1148.47,2115.84,41,290,2094.95,712.22,4585.48,7392.65,1281,1281,100.0,447,131,13847,131985,5660
Bidar,2344,7205,2243,1965,13757,34,29,19,360,35,477,755,859,2,3796,216,9679,5647,101223,116549,5475,1406,483,8850,3391,104,448,156568,0.71,196.3,505.26,880.08,16,119,2086.06,286.94,2519.9,4892.9,875,837,95.66,303,82,5859,47054,2318
Kalburgi,2975,6196,7248,10724,27143,2483,68,35,953,20,3559,3683,1700,53,16744,37,68874,6643,347905,423422,23465,3724,4266,17991,11466,963,106,538322,2.43,279.0,1495.83,1522.99,53,226,2456.81,321.07,4720.47,7498.35,1285,1285,100.0,421,97,11395,64383,3723
Yadgir,99,26,522,78,725,49,0,0,45,1,95,106,25,0,978,560,516,448,10018,10982,548,0,0,925,186,75,4,15209,0.07,136.3,423.97,1217.52,11,84,1272.92,243.74,2284.0,3800.66,487,445,91.38,204,29,2258,46698,1587
Raichur,255,174,1171,209,1809,8,0,0,76,42,126,642,85,253,1069,0,1650,1627,49313,52590,2946,0,126,3166,732,55,200,63799,0.29,164.0,850.52,1506.81,53,54,1600.75,538.31,5092.18,7231.24,1315,680,51.71,286,81,5916,63290,3192
Koppal,1495,3899,8272,2471,16137,788,0,100,367,101,1356,2182,1448,0,2632,7,4392,6924,208707,220023,22961,58,1638,24175,7607,1047,973,302244,1.37,162.69,674.21,1447.74,24,78,912.97,485.85,2115.37,3514.19,771,736,95.46,218,72,4452,47202,2069
